waste_class,device_mass_g,gold,silver,palladium,platinum,copper,aluminum,ferrous,plastic,glass,other,source
Battery,45,0,0,0,0,0.05,0.05,0.20,0.05,0,0.65,EST
Cardboard,200,0,0,0,0,0,0,0,0,0,1.0,EST
Glass,300,0,0,0,0,0,0,0,0,1.0,0,EST
Keyboard,600,0.000005,0.00002,0,0,0.03,0.02,0.15,0.60,0,0.19997,EST
Metal,100,0,0,0,0,0.05,0.40,0.50,0,0,0.05,EST
Microwave,12000,0.0000005,0.000002,0.0000002,0,0.07,0.04,0.45,0.20,0.05,0.1899953,EST
Mobile,170,0.000147,0.00147,0.000053,0,0.12,0.03,0.08,0.40,0.14,0.22633,GEM2024;UNEP2009
Mouse,90,0.00001,0.00003,0,0,0.05,0.01,0.03,0.65,0,0.25996,EST
Organic,150,0,0,0,0,0,0,0,0,0,1.0,EST
Paper,50,0,0,0,0,0,0,0,0,0,1.0,EST
PCB,120,0.00025,0.001,0.00011,0.00001,0.18,0.04,0.03,0.25,0.20,0.29863,UNEP2009;Hagelueken
Plastic,30,0,0,0,0,0,0,0,1.0,0,0,EST
Player,500,0.00002,0.00008,0,0,0.05,0.05,0.20,0.45,0,0.2499,EST
Printer,6000,0.00001,0.00004,0,0,0.05,0.03,0.25,0.45,0,0.21995,EST
Television,8000,0.00001,0.00005,0,0,0.04,0.05,0.15,0.30,0.30,0.15994,UNEP2009;EST
Trash,50,0,0,0,0,0,0,0,0,0,1.0,EST
Washing Machine,65000,0,0,0,0,0.025,0.02,0.55,0.10,0.02,0.285,EST
